,Name,RAJ(deg),DECJ(deg),P(ms),Edot,Discovery,Characteristics,Refs
0,PSR_J0007+7303,1.75,73.05,315.87,4.5e+35,G,q,"1,6,14,23,38,45"
1,PSR_J0357+3205,59.47,32.09,444.1,5.9e+33,GU,q,"6,14,23,45"
2,PSR_J0359+5414,59.86,54.25,79.43,1.2999999999999999e+36,GU,q,"P201,64"
3,PSR_J0554+3107,88.52,31.13,464.96,5.599999999999999e+34,GU,q,"P201,51"
4,PSR_J0622+3749,95.54,37.82,333.21,2.7e+34,GU,q,"32,45"
5,PSR_J0633+0632,98.43,6.54,297.4,1.1999999999999999e+35,GU,q,"6,14,23,45"
6,PSR_J0633+1746,98.48,17.77,236.97,3.2e+34,XE,xq,"14,20,45"
7,PSR_J0734-1559,113.69,-15.99,155.14,1.2999999999999998e+35,GU,q,"P8,45"
8,PSR_J0744-2525,116.02,-25.42,92.01,4.8e+34,GU,q,92
9,PSR_J0802-5613,120.6,-56.22,274.09,5.3e+33,GU,q,92
10,PSR_J1023-5746,155.76,-57.77,111.47,1.1e+37,GU,q,"21,45"
11,PSR_J1044-5737,161.14,-57.62,139.03,8e+35,GU,q,"21,45"
12,PSR_J1057-5851,164.29,-58.85,620.35,1.7e+34,GU,q,"P201,64"
13,PSR_J1105-6037,166.25,-60.62,194.93,1.1999999999999999e+35,GU,q,"P201,64"
14,PSR_J1111-6039,167.95,-60.66,106.67,7.000000000000001e+36,GU,q,P25
15,PSR_J1135-6055,173.78,-60.93,114.49,2.1e+36,GU,q,"P11,45"
16,PSR_J1139-6247,174.82,-62.79,120.43,9.1e+34,GU,q,92
17,PSR_J1203-6242,180.98,-62.71,100.64,1.7e+36,GU,q,92
18,PSR_J1208-6238,182.06,-62.63,440.52,1.5e+36,GU,q,"P201,63"
19,PSR_J1231-5113,187.9,-51.23,206.44,5.1999999999999996e+32,GU,q,92
20,PSR_J1231-6511,187.93,-65.2,247.37,7.399999999999999e+34,GU,q,92
21,PSR_J1335-5656,203.77,-56.93,3.24,1.3999999999999998e+34,GU,mq,92
22,PSR_J1350-6225,207.68,-62.43,138.16,1.2999999999999998e+35,GU,q,"P201,64"
23,PSR_J1358-6025,209.61,-60.43,60.52,5.4e+35,GU,q,92
24,PSR_J1413-6205,213.37,-62.09,109.74,8.3e+35,GU,q,"21,45"
25,PSR_J1418-6058,214.68,-60.97,110.57,5.0000000000000004e+36,GU,q,"6,14,23,45"
26,PSR_J1422-6138,215.62,-61.64,340.97,9.6e+34,GU,q,"P201,51"
